"","Name","ID","Gender","Age","Country","Genres","Popularity","Followers","URI","spotify_id","name","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","is_single","days_since_release"
"1","Jack Harlow","2LIk90788K0zvyj2JJVwkJ","mixed",7,"US","['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",83,3234628,"spotify:artist:2LIk90788K0zvyj2JJVwkJ","4xhsWYTOGcal8zt0J161CU","Lovin On Me",1,0,16,"US","2024-01-01",95,"True",138411,"Lovin On Me","2023-11-10",0.943,0.558,2,-4.911,1,0.0568,0.0026,0.00000219,0.0937,0.606,104.983,4,TRUE,52
"2","Jack Harlow","2LIk90788K0zvyj2JJVwkJ","mixed",7,"US","['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",83,3234628,"spotify:artist:2LIk90788K0zvyj2JJVwkJ","4xhsWYTOGcal8zt0J161CU","Lovin On Me",1,0,7,"NZ","2024-01-01",95,"True",138411,"Lovin On Me","2023-11-10",0.943,0.558,2,-4.911,1,0.0568,0.0026,0.00000219,0.0937,0.606,104.983,4,TRUE,52
"3","Jack Harlow","2LIk90788K0zvyj2JJVwkJ","mixed",7,"US","['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",83,3234628,"spotify:artist:2LIk90788K0zvyj2JJVwkJ","4xhsWYTOGcal8zt0J161CU","Lovin On Me",1,2,38,"LV","2024-01-01",95,"True",138411,"Lovin On Me","2023-11-10",0.943,0.558,2,-4.911,1,0.0568,0.0026,0.00000219,0.0937,0.606,104.983,4,TRUE,52
"4","Jack Harlow","2LIk90788K0zvyj2JJVwkJ","mixed",7,"US","['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",83,3234628,"spotify:artist:2LIk90788K0zvyj2JJVwkJ","4xhsWYTOGcal8zt0J161CU","Lovin On Me",1,0,28,"CA","2024-01-01",95,"True",138411,"Lovin On Me","2023-11-10",0.943,0.558,2,-4.911,1,0.0568,0.0026,0.00000219,0.0937,0.606,104.983,4,TRUE,52
"5","Jack Harlow","2LIk90788K0zvyj2JJVwkJ","mixed",7,"US","['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",83,3234628,"spotify:artist:2LIk90788K0zvyj2JJVwkJ","4xhsWYTOGcal8zt0J161CU","Lovin On Me",1,0,6,"AU","2024-01-01",95,"True",138411,"Lovin On Me","2023-11-10",0.943,0.558,2,-4.911,1,0.0568,0.0026,0.00000219,0.0937,0.606,104.983,4,TRUE,52
"6","Wham!","5lpH0xAS4fVfLkACg9DAuM","mixed",39,"GB","['new romantic', 'new wave pop', 'soft rock']",77,2564883,"spotify:artist:5lpH0xAS4fVfLkACg9DAuM","06qMRF18gwbOYYbnP2du6i","Last Christmas - Single Version",1,3,0,"UA","2024-01-01",89,"False",265960,"The Singles: Echoes from the Edge of Heaven","2023-07-07",0.733,0.598,2,-8.228,1,0.0278,0.212,0.00000371,0.156,0.935,107.732,4,FALSE,178
"7","Viktor Sheen","4cG43cUBRJWWDsRh4SW48i","",0,"","['czech drill', 'czech hip hop', 'czsk hip hop']",65,511953,"spotify:artist:4cG43cUBRJWWDsRh4SW48i","6AMZm12a1B2kpgN7qOA7Cy","Dopamin",1,0,25,"CZ","2024-01-01",65,"True",164000,"Planeta opic","2023-10-13",0.815,0.543,2,-12.522,1,0.258,0.228,0.14,0.0666,0.409,120.048,4,FALSE,80
"8","Noah Kahan","2RQXRUsr4IW1f3mKyKsy4B","male",23,"US","['pov: indie']",83,1747686,"spotify:artist:2RQXRUsr4IW1f3mKyKsy4B","0mflMxspEfB0VbI1kyLiAv","Stick Season",1,0,25,"NL","2024-01-01",92,"False",182346,"Stick Season","2022-10-14",0.662,0.488,9,-6.894,1,0.0682,0.782,0,0.102,0.817,117.913,4,TRUE,444
"9","Noah Kahan","2RQXRUsr4IW1f3mKyKsy4B","male",23,"US","['pov: indie']",83,1747686,"spotify:artist:2RQXRUsr4IW1f3mKyKsy4B","0mflMxspEfB0VbI1kyLiAv","Stick Season",1,0,9,"IE","2024-01-01",92,"False",182346,"Stick Season","2022-10-14",0.662,0.488,9,-6.894,1,0.0682,0.782,0,0.102,0.817,117.913,4,TRUE,444
"10","Noah Kahan","2RQXRUsr4IW1f3mKyKsy4B","male",23,"US","['pov: indie']",83,1747686,"spotify:artist:2RQXRUsr4IW1f3mKyKsy4B","0mflMxspEfB0VbI1kyLiAv","Stick Season",1,0,19,"GB","2024-01-01",92,"False",182346,"Stick Season","2022-10-14",0.662,0.488,9,-6.894,1,0.0682,0.782,0,0.102,0.817,117.913,4,TRUE,444
"11","Ado","6mEQK9m2krja6X1cfsAjfl","male",0,"TR","['j-pop', 'japanese teen pop']",74,3530985,"spotify:artist:6mEQK9m2krja6X1cfsAjfl","1rDgAHDX95RmylxjgVW9tN","Show",1,0,2,"JP","2024-01-01",72,"False",189772,"Show","2023-09-06",0.616,0.975,10,-0.425,0,0.208,0.172,0.00000162,0.143,0.742,132.054,4,TRUE,117
"12","Tate McRae","45dkTj5sMRSjrmBSBeiHym","female",17,"CA","['alt z', 'pop']",84,4297648,"spotify:artist:45dkTj5sMRSjrmBSBeiHym","3rUGC1vUpkDG9CZFHMur1t","greedy",1,0,15,"","2024-01-01",97,"True",131872,"greedy","2023-09-15",0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,1,TRUE,108
